===============================
356,-1272,-16164,16217.8795161
856,-1392,-16228,16310.0700182
632,-700,-15388,15416.8728347
656,-716,-16024,16053.3973974
468,-956,-16472,16506.3546551
592,-636,-16168,16191.3305198
712,-1028,-15920,15969.0365395
680,-912,-16180,16219.9427866
540,-756,-15592,15619.6542855
636,-1132,-16284,16335.6841301
808,-808,-16720,16759.0014022
440,-1248,-15348,15404.9410255
736,-1040,-17612,17658.0248046
584,-800,-16784,16813.2005282
576,-912,-15788,15824.8053385
432,-1316,-13492,13562.9106021
700,-928,-15396,15439.8186518
688,-676,-14616,14647.7908232
632,-1024,-16160,16204.7400473
492,-908,-15544,15578.2689667
596,-924,-15464,15503.04125
532,-904,-16308,16341.6983206
600,-1132,-16324,16374.1992171
428,-900,-15712,15743.5741812
652,-1160,-16396,16449.9094222
520,-976,-15328,15367.8417483
720,-1056,-15332,15385.179882
720,-1020,-16392,16439.4788239
524,-944,-13972,14013.6539132
672,-924,-16404,16443.7397206
532,-756,-16116,16142.4910098
604,-1060,-16556,16600.8900966
640,-1036,-16224,16269.6365049
668,-944,-15992,16033.7588856
532,-700,-15760,15784.5058206
684,-1000,-16444,16488.5715573
568,-840,-16008,16040.0837903
636,-1076,-16568,16615.080379
604,-956,-16120,16159.6148469
460,-908,-15808,15840.7363465
524,-1028,-15652,15694.4724027
648,-988,-16400,16442.5073514
584,-988,-15160,15203.3812029
616,-1076,-15416,15465.777963
620,-1012,-15696,15740.8055702
720,-968,-16080,16125.1922159
632,-1016,-15640,15685.7030445
624,-772,-16400,16430.0139988
672,-1068,-16136,16185.2619379
692,-1160,-15948,16005.0981878
748,-864,-15284,15326.6648688
572,-792,-16536,16564.83456
608,-1056,-16056,16102.171779
624,-732,-15748,15777.3478126
612,-868,-16012,16047.1839274
664,-956,-16096,16138.0311067
620,-996,-16208,16250.4055334
588,-904,-16052,16088.183987
512,-1032,-16316,16356.6201888
524,-852,-16384,16414.5038305
588,-992,-15968,16009.5856286
456,-916,-15900,15932.8902588
720,-1040,-15752,15802.7055911
564,-992,-15152,15194.9091475
792,-1000,-16160,16210.2703247
476,-880,-16160,16190.9411709
612,-980,-15728,15770.3813524
584,-820,-16276,16307.1037281
592,-892,-16300,16335.119467
648,-984,-15692,15736.1692924
808,-752,-15880,15918.3154888
608,-1084,-15712,15761.0806736
680,-912,-15892,15932.6648116
504,-836,-15904,15933.9300865
608,-1060,-16208,16254.0003691
628,-868,-16104,16139.5980123
748,-940,-15528,15574.3984796
564,-812,-15792,15822.9170509
708,-1192,-16016,16075.8945008
572,-720,-16156,16182.1481887
548,-1112,-15204,15254.4571847
552,-1036,-15916,15959.2310592
616,-852,-15532,15567.5426449
644,-1084,-15596,15646.8849296
684,-1000,-15464,15511.3878167
716,-964,-16528,16571.5640783
584,-764,-15992,16020.8868668
696,-744,-15948,15980.5086277
712,-976,-15492,15539.0342042
480,-932,-16336,16369.6035383
644,-932,-15788,15828.591346
864,-896,-16244,16291.6189496
512,-864,-16096,16127.3015722
540,-1080,-15948,15993.6457382
664,-884,-16236,16273.5997247
592,-988,-15680,15722.2456411
620,-832,-16340,16372.9112866
652,-952,-16032,16073.4698183
688,-1000,-15484,15531.5034688
608,-936,-16140,16178.5462882
632,-900,-15688,15726.4989111
632,-948,-16520,16559.2429779
616,-812,-15724,15756.9976836
708,-956,-16352,16395.2158876
508,-944,-15088,15126.0353034
688,-624,-15940,15967.0385482
448,848,-2608,2778.75367746
444,-1280,-17756,17807.6127541
388,-792,-12324,12355.5163389
1384,-1084,-17528,17615.938692
516,-452,-16188,16202.527704
296,-800,-15348,15371.685659
700,-1036,-16900,16946.188244
620,-588,-15608,15631.3725565
872,-1076,-16192,16251.1237765
428,-1040,-15800,15839.9742424
524,-580,-15876,15895.2304796
752,-1244,-16212,16277.0385513
588,-936,-15608,15647.0925095
576,-792,-15900,15930.129943
684,-1212,-16472,16530.6861322
452,-888,-15492,15524.0108219
644,-816,-16120,16153.482349
648,-1076,-16128,16176.8372681
584,-868,-15472,15507.3293639
456,-1048,-15756,15797.3977604
460,-920,-16424,16456.1774419
592,-1048,-16088,16132.9635219
496,-892,-16112,16144.2938526
496,-968,-16264,16300.3293218
500,-1112,-16032,16078.2949345
492,-1020,-16032,16071.9472373
648,-864,-16444,16479.42766
688,-992,-16236,16280.8201268
648,-984,-15752,15796.0015194
544,-844,-15340,15372.8290175
700,-904,-15760,15801.4181642
528,-920,-15892,15927.3616145
512,-924,-15756,15791.3728346
664,-1120,-15864,15917.3424918
580,-940,-15736,15774.7169864
524,-908,-15732,15766.8913867
604,-1064,-16080,16126.4785989
588,-928,-16008,16045.6533678
672,-1052,-15868,15917.0258528
696,-912,-15988,16029.1080226
596,-816,-16304,16335.2835298
472,-1128,-15784,15831.2925562
676,-984,-16108,16152.1792957
640,-884,-16164,16200.8009679
544,-1028,-15872,15914.5563557
792,-988,-16092,16141.7431525
532,-896,-15760,15794.41167
692,-1204,-15984,16044.2119158
524,-904,-15852,15886.399718
524,-1048,-16032,16074.7598427
556,-1000,-15960,16000.9604712
476,-944,-16380,16414.082734
584,-1084,-16192,16238.7492129
524,-812,-15824,15853.4821412
612,-984,-16000,16041.9076172
568,-976,-16216,16255.2716372
692,-1028,-16064,16111.7269093
656,-748,-15892,15923.1122586
692,-876,-16464,16501.8040226
644,-804,-15592,15625.9916805
440,-1008,-15548,15586.8524084
660,-1168,-16012,16068.1040574
672,-908,-16240,16279.2397857
588,-880,-15932,15967.1152059
648,-1052,-16156,16203.1769724
432,-900,-16076,16106.9674365
644,-944,-15940,15980.9096112
588,-1132,-16464,16513.3419997
512,-888,-16244,16276.3086724
708,-1036,-15900,15949.4376076
508,-936,-15852,15887.7331297
564,-936,-16400,16436.3679686
500,-1052,-15864,15906.7029896
604,-1112,-16352,16400.8921709
616,-844,-15932,15966.2273565
728,-968,-15532,15579.1537639
680,-996,-15676,15722.3214571
716,-1020,-15344,15394.524741
684,-1012,-15868,15914.9434181
496,-952,-16296,16331.3176443
592,-900,-15992,16028.2415754
588,-908,-16172,16208.1396835
504,-880,-16116,16147.8751543
460,-992,-16020,16057.2744885
568,-1004,-16268,16308.8461885
592,-948,-15492,15532.2642264
660,-920,-15924,15964.2029554
640,-860,-16388,16423.0248127
568,-952,-15812,15850.812976
660,-976,-16192,16234.8095154
604,-952,-15952,15991.7923949
684,-884,-15624,15663.9295198
588,-912,-15808,15845.1996516
616,-944,-15792,15832.1778666
680,-1032,-15820,15868.2016624
548,-860,-15876,15908.7171073
684,-1016,-16408,16453.6493217
552,-780,-16092,16120.3463983
608,-1008,-15984,16027.2887289
572,-976,-15592,15632.9851276
580,-1076,-16016,16062.5786224
588,-984,-15940,15981.1639126
572,-976,-15800,15840.4469634
652,-960,-15864,15906.3886536
696,-824,-16108,16144.0718532
860,-1068,-15580,15640.2245508
604,-756,-15376,15406.4184027
732,-1136,-16024,16080.8860452
736,-932,-15800,15844.5675233
700,-756,-16176,16208.7788559
652,-916,-16264,16302.8174252
608,-992,-15568,15611.4173604
552,-836,-15960,15991.4101942
468,-1084,-15832,15875.9662383
544,-908,-16424,16458.0732773
588,-1060,-16540,16584.3584139
616,-844,-15712,15746.7055602
600,-1032,-15924,15968.6818492
536,-976,-15484,15523.9855707
532,-860,-16124,16155.6801157
624,-1080,-15780,15829.2190584
772,-1016,-15892,15943.1459882
580,-792,-15840,15870.3895352
772,-1128,-15924,15982.5574925
636,-772,-16300,16330.6607337
560,-980,-15900,15940.012547
592,-980,-16000,16040.9121935
540,-1004,-15972,16012.6325131
644,-1000,-15916,15960.3819503
544,-968,-15968,16006.5606549
784,-992,-15756,15806.6522705
508,-984,-16196,16233.8145856
508,-1052,-15884,15926.9025237
